CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,variant
142,20,Male,59,10,5,5,Premium,Quarterly,803,15,0,A
143,38,Male,10,9,1,30,Premium,Annual,888,28,0,A
144,43,Female,16,20,10,26,Basic,Annual,712,2,0,A
145,24,Male,8,12,9,15,Basic,Annual,257,18,0,A
146,56,Female,2,20,6,17,Basic,Quarterly,355,12,0,A
147,61,Male,58,24,9,5,Premium,Monthly,201,20,0,B
148,38,Female,16,13,2,28,Premium,Annual,133,24,1,A
149,39,Male,24,6,5,28,Premium,Quarterly,910,22,1,B
150,29,Male,42,8,8,21,Premium,Quarterly,419,27,1,B
151,31,Male,20,12,1,7,Premium,Annual,115,7,0,A
152,25,Male,22,5,5,29,Basic,Monthly,121,20,0,A
153,62,Male,22,30,9,21,Basic,Annual,736,24,0,B
154,64,Male,13,16,10,18,Standard,Annual,934,11,0,B
155,57,Female,7,27,7,23,Standard,Annual,640,1,0,A
156,48,Male,41,25,10,1,Standard,Annual,119,13,0,A
157,21,Male,3,8,5,15,Premium,Quarterly,994,25,0,A
158,26,Female,16,10,0,14,Standard,Annual,411,19,0,B
159,63,Male,36,21,8,0,Premium,Annual,817,22,0,A
160,28,Male,14,5,3,4,Premium,Monthly,200,7,0,B
161,36,Male,51,1,0,7,Premium,Annual,837,16,0,B
162,31,Male,34,23,5,12,Standard,Quarterly,164,2,0,B
163,64,Female,46,2,1,12,Basic,Quarterly,413,12,0,A
164,49,Female,53,16,5,3,Standard,Annual,423,15,0,B
165,58,Female,54,18,1,29,Premium,Quarterly,235,29,1,B
166,51,Male,6,22,7,23,Premium,Quarterly,862,3,0,B
167,62,Female,10,11,5,1,Standard,Quarterly,775,6,0,A
168,41,Female,55,17,10,12,Premium,Monthly,259,22,0,B
169,22,Female,59,9,4,9,Basic,Monthly,581,4,0,B
170,56,Male,52,27,5,13,Standard,Annual,796,25,0,B
171,59,Female,20,8,10,3,Standard,Annual,317,20,0,A
172,51,Female,6,1,9,18,Standard,Quarterly,354,12,1,B
173,57,Male,5,13,7,3,Basic,Quarterly,821,16,0,A
174,56,Female,36,4,4,21,Premium,Quarterly,946,30,1,B
175,23,Male,42,23,6,24,Standard,Monthly,838,6,1,A
176,33,Female,52,26,0,10,Standard,Quarterly,136,4,0,A
177,29,Male,31,30,8,24,Premium,Quarterly,150,11,1,A
178,49,Male,40,11,4,17,Premium,Monthly,546,7,0,A
179,25,Female,28,8,4,23,Premium,Monthly,716,1,1,B
180,37,Male,1,7,4,22,Standard,Annual,699,15,0,A
181,45,Male,40,10,10,28,Premium,Annual,912,8,1,B
182,53,Male,13,11,9,14,Basic,Annual,350,9,0,A
183,33,Female,60,24,10,18,Premium,Monthly,423,24,1,A
184,20,Male,5,22,8,0,Premium,Monthly,973,25,0,B
185,62,Male,26,18,1,16,Standard,Annual,683,12,0,A
186,37,Male,55,8,8,4,Standard,Monthly,561,16,0,A
187,51,Male,38,21,4,5,Basic,Quarterly,203,26,0,B
188,21,Female,41,13,8,22,Premium,Monthly,538,18,1,B
189,64,Male,60,25,5,8,Premium,Annual,720,24,0,B
190,41,Male,50,15,6,1,Standard,Annual,588,10,0,A
191,44,Male,44,30,0,26,Standard,Monthly,656,6,0,A
192,20,Male,4,26,8,12,Standard,Annual,733,4,0,B
193,18,Male,28,12,3,20,Standard,Monthly,261,13,0,A
194,41,Female,58,24,9,16,Standard,Annual,447,20,1,B
195,50,Male,46,2,4,28,Premium,Annual,527,19,0,A
196,59,Male,41,29,3,1,Basic,Quarterly,833,5,0,A
197,39,Male,29,25,4,2,Standard,Quarterly,254,20,0,B
198,19,Male,17,11,6,24,Standard,Quarterly,715,15,0,B
199,29,Female,56,21,3,26,Basic,Quarterly,239,29,1,B
200,45,Female,20,1,4,15,Standard,Monthly,224,13,0,B
201,36,Male,24,29,1,26,Premium,Monthly,566,8,0,A
202,20,Female,9,27,5,16,Standard,Annual,295,21,0,A
203,30,Female,44,22,4,18,Standard,Quarterly,890,12,0,A
204,33,Male,5,25,1,26,Standard,Annual,821,27,0,A
205,27,Male,29,30,4,3,Basic,Annual,258,18,0,A
206,36,Female,26,7,2,3,Basic,Annual,371,8,0,A
207,33,Male,35,29,9,18,Basic,Monthly,335,8,1,A
208,18,Male,33,18,1,22,Basic,Annual,312,29,0,B
209,64,Male,13,20,0,22,Standard,Quarterly,749,14,0,A
210,48,Male,36,19,1,13,Premium,Annual,140,28,0,B
211,57,Female,15,4,5,30,Standard,Quarterly,960,21,1,A
212,28,Female,22,5,1,2,Premium,Quarterly,838,10,0,A
213,28,Male,56,7,2,25,Basic,Monthly,854,26,0,A
214,22,Female,45,29,8,7,Standard,Monthly,344,17,0,B
215,56,Male,11,10,10,10,Basic,Annual,841,26,0,B
216,23,Female,31,15,6,11,Basic,Quarterly,705,24,0,A
217,59,Male,44,7,8,9,Standard,Annual,890,26,0,A
218,46,Male,27,25,6,8,Basic,Monthly,150,28,0,B
219,56,Male,8,11,10,12,Premium,Quarterly,866,15,0,A
220,37,Female,25,19,8,26,Standard,Monthly,212,13,1,A
221,36,Male,46,5,2,11,Premium,Quarterly,524,6,0,B
222,59,Male,36,16,4,26,Standard,Annual,894,29,0,A
223,56,Female,15,19,3,2,Standard,Quarterly,650,3,0,B
224,51,Female,32,20,2,24,Standard,Quarterly,505,21,0,B
225,38,Female,29,18,4,16,Standard,Annual,909,24,0,A
226,20,Male,60,29,7,22,Standard,Quarterly,298,23,1,B
227,60,Female,16,24,6,21,Basic,Monthly,725,14,1,B
228,49,Male,59,9,2,18,Premium,Annual,733,18,0,A
229,20,Female,55,25,1,26,Premium,Quarterly,382,8,1,A
230,58,Female,29,20,0,20,Standard,Quarterly,126,9,0,B
231,27,Male,50,1,10,30,Standard,Annual,736,4,1,A
232,20,Female,29,5,4,17,Basic,Annual,584,26,0,B
233,63,Male,46,2,4,9,Basic,Quarterly,969,30,1,B
234,47,Female,33,5,4,23,Premium,Quarterly,393,14,1,B
235,63,Male,18,15,3,27,Premium,Annual,722,26,0,A
236,62,Male,51,9,2,0,Premium,Monthly,654,16,0,A
237,46,Female,35,29,8,5,Standard,Monthly,805,2,0,B
238,49,Female,33,23,3,21,Premium,Annual,230,23,1,A
239,46,Female,52,26,5,27,Basic,Monthly,403,14,1,A
240,64,Female,11,7,1,8,Basic,Annual,984,14,0,A
241,60,Male,13,17,7,19,Basic,Monthly,849,26,0,B
242,54,Male,44,24,1,16,Premium,Annual,664,3,0,A
243,47,Female,52,3,6,1,Premium,Quarterly,408,7,0,A
244,37,Male,55,28,4,26,Basic,Monthly,826,17,0,A
245,19,Female,1,13,6,9,Basic,Monthly,302,3,0,A
246,52,Female,33,14,8,2,Standard,Quarterly,846,11,0,B
247,62,Male,5,18,6,14,Standard,Annual,205,22,0,B
248,48,Male,54,15,7,18,Standard,Quarterly,131,11,1,A
249,60,Male,18,27,1,30,Standard,Annual,426,30,0,A
250,58,Male,15,2,1,13,Premium,Annual,309,23,0,B
251,43,Male,31,8,7,28,Premium,Monthly,313,10,1,B
252,26,Male,41,27,8,15,Premium,Monthly,889,6,0,B
253,41,Female,45,21,5,18,Basic,Quarterly,799,7,1,A
254,22,Male,47,15,10,24,Premium,Annual,237,17,1,B
255,45,Male,14,20,1,13,Basic,Quarterly,828,11,0,B
256,38,Male,59,30,1,28,Premium,Quarterly,481,28,0,A
257,28,Male,49,22,6,29,Standard,Quarterly,187,13,1,A
258,56,Male,22,21,5,13,Premium,Monthly,632,22,0,B
259,42,Female,17,14,6,22,Standard,Annual,207,10,1,A
260,20,Female,59,19,0,10,Premium,Quarterly,366,22,0,A
261,62,Male,52,1,4,22,Standard,Monthly,153,26,1,B
262,22,Female,37,6,8,17,Basic,Quarterly,212,12,1,B
263,30,Female,46,18,4,13,Standard,Quarterly,300,21,0,B
264,30,Female,55,27,6,11,Standard,Monthly,662,28,0,A
265,44,Male,21,18,4,27,Basic,Quarterly,388,12,0,A
266,58,Male,38,26,0,27,Premium,Annual,874,12,0,B
267,59,Male,41,18,6,18,Standard,Annual,971,12,1,A
268,65,Male,55,10,5,18,Premium,Quarterly,689,6,1,A
269,30,Female,42,15,8,8,Premium,Monthly,280,20,0,A
270,28,Female,35,19,2,2,Premium,Monthly,506,22,0,B
271,58,Male,39,16,0,8,Basic,Monthly,690,17,0,B
272,63,Female,56,28,1,17,Basic,Quarterly,821,7,0,B
273,62,Female,35,8,7,8,Basic,Annual,514,17,0,B
274,32,Female,47,20,0,8,Premium,Monthly,885,9,0,A
275,20,Male,19,10,5,11,Basic,Quarterly,644,8,0,B
276,28,Female,28,9,5,9,Premium,Monthly,628,18,0,B
277,19,Male,54,27,6,30,Standard,Quarterly,131,20,1,A
278,24,Female,48,29,10,30,Premium,Monthly,278,26,1,A
279,43,Male,28,4,10,9,Premium,Annual,280,15,0,B
280,38,Female,13,13,6,27,Standard,Quarterly,466,14,1,B
281,52,Female,26,28,3,6,Standard,Quarterly,953,5,0,B
282,25,Male,4,14,5,16,Premium,Annual,465,17,0,B
283,37,Male,10,22,2,3,Premium,Annual,292,6,0,B
284,56,Male,35,15,4,18,Standard,Monthly,940,1,0,A
285,55,Female,28,11,0,21,Premium,Monthly,741,4,1,B
286,41,Female,14,18,10,15,Basic,Annual,380,7,0,B
287,61,Male,46,5,2,3,Premium,Annual,501,21,0,B
288,20,Female,50,8,2,30,Basic,Annual,407,29,1,B
289,40,Male,5,1,3,21,Standard,Annual,101,12,1,A
290,19,Male,40,22,0,24,Premium,Quarterly,212,20,0,A
291,44,Male,34,30,4,28,Standard,Quarterly,654,26,0,B
292,24,Female,8,7,8,29,Premium,Annual,226,4,1,B
293,28,Female,1,4,6,1,Premium,Annual,337,6,0,B
294,41,Male,35,8,3,28,Standard,Annual,163,8,0,B
295,20,Female,56,12,5,14,Basic,Quarterly,837,9,0,A
296,52,Male,33,27,0,19,Basic,Monthly,719,18,0,A
297,47,Male,14,28,4,26,Basic,Quarterly,987,2,0,A
298,47,Female,23,6,1,17,Basic,Annual,300,27,0,B
299,18,Female,50,10,6,27,Standard,Monthly,487,18,1,A
300,37,Male,42,26,5,24,Premium,Quarterly,862,9,1,A
301,36,Male,38,14,4,7,Basic,Annual,863,7,0,A
302,48,Female,35,26,3,5,Premium,Quarterly,415,20,0,B
303,35,Female,21,19,9,11,Basic,Monthly,607,21,0,A
304,52,Female,9,2,5,3,Premium,Monthly,592,24,1,A
305,58,Female,42,24,8,3,Standard,Annual,256,17,0,B
306,62,Male,35,18,4,24,Premium,Quarterly,603,9,0,A
307,19,Female,26,18,10,18,Standard,Monthly,721,25,1,B
308,41,Female,49,27,0,5,Standard,Monthly,329,8,0,A
309,46,Male,12,26,9,3,Basic,Monthly,173,29,0,A
310,29,Male,24,30,1,7,Standard,Annual,101,30,0,B
311,24,Male,56,23,3,30,Standard,Quarterly,123,14,0,B
312,31,Female,16,8,0,1,Basic,Annual,438,23,0,B
313,49,Male,41,5,10,4,Basic,Annual,532,27,0,B
314,29,Female,37,16,0,7,Standard,Monthly,845,2,0,A
315,24,Female,42,17,7,8,Basic,Annual,210,29,0,B
316,19,Female,29,28,1,21,Basic,Annual,802,17,0,A
317,55,Male,20,18,5,4,Premium,Quarterly,305,26,0,A
318,62,Male,3,6,5,0,Standard,Quarterly,808,26,0,A
319,45,Female,47,19,10,23,Basic,Monthly,464,24,1,A
320,31,Male,52,7,10,19,Premium,Quarterly,197,3,1,B
321,59,Female,7,30,4,5,Premium,Quarterly,646,9,0,B
322,64,Male,51,1,0,22,Basic,Monthly,800,9,0,A
323,51,Female,57,21,3,11,Premium,Monthly,471,11,0,A
324,36,Male,15,10,8,0,Standard,Annual,672,2,0,B
325,23,Female,39,11,2,24,Standard,Monthly,666,25,1,A
326,61,Male,42,3,2,24,Standard,Monthly,525,25,0,A
327,25,Female,32,1,0,5,Standard,Annual,404,27,0,B
328,45,Female,59,11,7,20,Standard,Annual,175,29,1,B
329,58,Female,60,5,8,17,Premium,Annual,951,13,1,B
330,59,Male,7,30,10,21,Standard,Annual,285,4,0,B
331,52,Male,37,17,5,10,Premium,Monthly,476,1,0,B
332,34,Female,57,9,8,10,Standard,Monthly,603,25,0,B
333,41,Male,2,22,7,23,Standard,Monthly,681,23,0,B
334,27,Female,21,24,4,30,Standard,Annual,823,28,0,A
335,26,Male,54,26,8,27,Basic,Annual,525,30,1,B
336,63,Female,8,22,5,12,Basic,Annual,582,27,0,A
337,53,Male,46,5,5,4,Premium,Monthly,977,2,1,A
338,42,Female,38,18,2,18,Basic,Monthly,808,6,0,B
339,55,Male,56,30,8,10,Standard,Quarterly,550,17,0,B
340,23,Female,48,11,8,26,Basic,Monthly,169,15,1,A
341,36,Female,51,21,6,16,Premium,Monthly,278,27,1,B
342,44,Female,57,10,8,7,Standard,Monthly,163,17,0,A
343,45,Male,16,14,3,9,Basic,Monthly,474,14,0,B
344,29,Male,17,5,7,22,Basic,Annual,446,7,0,A
345,47,Female,37,20,8,16,Premium,Monthly,641,2,1,B
346,53,Female,44,21,10,27,Standard,Annual,650,3,1,A
347,24,Female,3,8,4,8,Premium,Quarterly,647,21,0,A
348,61,Female,4,29,6,6,Premium,Annual,428,8,0,A
349,22,Male,59,23,1,6,Premium,Monthly,707,12,0,B
350,46,Female,42,18,6,5,Premium,Monthly,719,6,0,A
351,55,Female,29,3,8,4,Basic,Quarterly,918,9,1,A
352,28,Male,16,15,2,28,Standard,Quarterly,704,23,0,B
353,28,Male,17,4,5,25,Basic,Annual,519,8,0,A
354,28,Female,34,28,9,8,Standard,Quarterly,672,27,0,A
355,30,Male,40,30,7,14,Basic,Monthly,296,25,0,B
356,35,Female,56,29,6,0,Basic,Quarterly,718,6,0,B
357,28,Male,2,8,7,16,Basic,Annual,141,8,0,B
358,27,Female,19,7,2,1,Premium,Monthly,928,12,0,B
359,60,Female,46,6,1,25,Standard,Monthly,621,2,1,B
360,22,Male,60,11,2,12,Premium,Monthly,736,1,0,A
361,51,Female,6,20,7,22,Premium,Monthly,999,3,1,A
362,49,Female,9,24,6,18,Basic,Quarterly,977,5,0,B
363,30,Male,41,17,2,14,Basic,Monthly,706,12,0,A
364,43,Male,33,26,6,0,Premium,Quarterly,593,26,0,B
365,57,Female,41,7,3,25,Premium,Quarterly,130,18,1,B
366,56,Female,30,24,7,10,Standard,Monthly,862,7,0,B
367,62,Female,47,8,10,7,Basic,Annual,107,9,0,B
368,29,Male,1,1,2,1,Premium,Quarterly,431,8,0,B
369,50,Female,41,11,7,10,Standard,Monthly,503,24,0,B
370,54,Female,30,6,1,24,Standard,Monthly,721,16,1,A
371,55,Female,39,30,6,1,Basic,Annual,795,2,0,A
372,30,Female,37,28,5,17,Premium,Annual,124,19,1,A
373,53,Female,45,25,1,11,Standard,Monthly,420,18,0,A
374,62,Male,14,5,0,8,Standard,Quarterly,197,5,0,A
375,57,Female,35,15,1,17,Premium,Quarterly,632,19,0,B
376,25,Female,46,30,7,22,Premium,Quarterly,982,18,1,A
377,34,Male,17,23,9,28,Standard,Quarterly,421,16,0,A
378,59,Female,1,11,5,23,Basic,Quarterly,687,9,0,A
379,35,Male,2,25,3,23,Basic,Monthly,899,29,0,B
380,24,Male,13,8,5,1,Premium,Quarterly,686,15,0,B
381,21,Female,45,5,2,10,Basic,Annual,288,11,0,A
382,50,Female,40,7,2,23,Basic,Annual,928,27,0,A
383,53,Male,10,17,4,25,Premium,Annual,321,12,0,A
384,27,Male,39,18,1,11,Basic,Annual,651,27,0,A
385,23,Male,20,14,3,22,Premium,Annual,924,20,0,B
386,41,Female,41,15,10,27,Premium,Quarterly,814,19,1,A
387,54,Male,41,21,2,17,Standard,Monthly,420,21,0,A
388,57,Female,55,12,4,26,Basic,Monthly,265,8,1,A
389,46,Male,37,21,9,6,Basic,Monthly,425,21,0,B
390,52,Female,33,27,0,1,Standard,Monthly,808,10,0,B
391,24,Male,32,28,5,9,Premium,Monthly,218,2,0,B
392,45,Male,3,6,1,17,Standard,Annual,418,10,0,A
393,47,Female,12,18,1,13,Premium,Annual,872,24,0,A
394,24,Female,14,11,9,6,Basic,Quarterly,693,27,0,B
395,65,Male,45,2,3,16,Standard,Annual,738,1,0,B
396,32,Male,52,5,10,7,Premium,Annual,839,10,0,B
397,39,Female,36,30,7,5,Standard,Quarterly,149,4,0,A
398,36,Female,28,24,2,24,Premium,Quarterly,136,1,1,A
399,57,Male,57,7,5,26,Premium,Annual,699,26,1,A
400,26,Male,19,17,7,23,Premium,Quarterly,870,2,0,A
401,54,Male,38,24,3,13,Basic,Annual,619,5,0,B
402,54,Female,46,6,2,15,Basic,Monthly,959,4,0,B
403,60,Female,12,5,1,17,Basic,Annual,826,7,0,B
404,45,Female,16,3,0,8,Basic,Monthly,763,24,0,A
405,21,Male,1,30,4,4,Premium,Annual,642,21,0,B
406,65,Male,27,17,3,23,Premium,Annual,328,23,0,A
407,21,Female,41,24,5,10,Basic,Annual,524,13,0,A
408,63,Female,60,30,0,7,Premium,Annual,494,19,0,A
409,40,Female,49,5,6,21,Standard,Monthly,292,14,1,B
410,31,Female,9,11,4,19,Premium,Annual,999,2,0,A
411,44,Male,45,26,3,1,Standard,Annual,927,9,0,B
412,33,Female,51,1,5,9,Standard,Quarterly,415,3,0,A
413,52,Female,56,10,4,5,Standard,Quarterly,444,9,0,A
414,25,Female,25,30,6,3,Premium,Annual,425,29,0,B
415,33,Female,16,4,5,21,Premium,Annual,233,21,1,B
416,18,Male,21,10,7,20,Basic,Monthly,968,18,0,B
417,63,Female,11,8,1,20,Standard,Annual,534,27,0,B
418,34,Male,58,29,0,13,Premium,Quarterly,238,29,0,A
419,31,Male,34,1,9,24,Premium,Annual,190,16,1,A
420,28,Female,43,23,0,9,Standard,Annual,421,13,0,A
421,44,Male,29,27,6,2,Standard,Monthly,653,8,0,B
422,30,Female,30,4,3,8,Basic,Quarterly,536,27,0,A
423,43,Male,31,3,2,20,Basic,Annual,406,13,0,B
424,36,Male,24,22,5,25,Standard,Annual,665,20,1,A
425,18,Male,8,3,7,20,Premium,Quarterly,412,26,0,A
426,46,Female,43,3,6,19,Basic,Monthly,165,23,1,B
427,54,Male,18,4,1,22,Basic,Monthly,272,29,0,B
428,42,Female,52,5,6,30,Standard,Quarterly,271,29,1,B
429,39,Female,12,28,0,1,Standard,Monthly,233,27,0,A
430,36,Female,36,24,2,13,Standard,Quarterly,535,1,0,B
431,19,Female,58,15,9,17,Basic,Monthly,317,2,1,A
432,50,Male,36,28,7,0,Premium,Annual,775,11,0,A
433,58,Female,9,19,4,26,Basic,Annual,805,21,0,B
